id_ubicacion,propiedades aseguradas,monto asegurado,primas emitidas,propiedades aseguradas,monto asegurado.1,id_tipo construcción,year,idcountry
38,33567,278181,1529168,93300,769627,2,2021,2
39,14715,116786,1149321,40575,319643,2,2021,2
40,92908,785547,2674416,288180,2400244,2,2021,2
41,13904,124259,447446,45060,395708,2,2021,2
42,18970,149347,494786,55716,431541,2,2021,2
43,46167,391742,1463826,166651,1388848,2,2021,2
44,22737,186114,1055190,69205,555526,2,2021,2
45,23513,174410,971297,73578,535368,2,2021,2
46,32372,243900,866562,111178,819734,2,2021,2
47,1705,14132,76088,4300,36757,2,2021,2
1,93641,194548,324947,200694,445985,3,2021,2
2,11317,21844,31494,20851,44643,3,2021,2
3,13254,26754,40262,26159,57931,3,2021,2
4,87700,213242,498927,173668,447435,3,2021,2
5,6640,13165,19836,13017,28608,3,2021,2
6,9399,19188,27715,18049,40690,3,2021,2
7,39224,83112,147919,70169,164506,3,2021,2
8,58618,122239,418521,118701,273665,3,2021,2
9,39736,88307,127622,82424,201032,3,2021,2
10,28799,60531,88754,59037,137128,3,2021,2
11,168987,378078,1608939,369178,905962,3,2021,2
12,153905,334714,1991347,338326,816705,3,2021,2
13,599920,1311147,7499067,1266687,3048651,3,2021,2
14,282113,647294,3850203,635767,1575850,3,2021,2
15,28516,49848,73772,52754,110206,3,2021,2
16,10431,20321,29160,20201,44810,3,2021,2
17,14939,25696,37255,27357,54973,3,2021,2
18,7994,16714,27216,17162,40553,3,2021,2
19,14224,27985,69218,30711,69003,3,2021,2
20,30183,61074,85564,57589,129855,3,2021,2
21,66303,108169,143594,116809,230558,3,2021,2
22,93667,163165,793462,166760,355773,3,2021,2
23,403283,658096,1448553,688964,1345556,3,2021,2
24,48640,83223,180267,83661,168096,3,2021,2
25,30243,59082,82856,59442,129083,3,2021,2
26,68361,135725,209819,139228,303134,3,2021,2
27,314796,716281,1849649,674582,1649543,3,2021,2
28,157953,352176,579152,346340,837727,3,2021,2
29,23210,58777,99941,54957,148404,3,2021,2
30,14997,31465,87095,33485,77468,3,2021,2
31,7833,13579,20541,15531,30214,3,2021,2
32,7333,12570,17457,12970,24677,3,2021,2
33,39501,79430,126918,84675,187526,3,2021,2
34,63638,140747,230022,138696,330125,3,2021,2
35,26253,50790,83837,56482,122968,3,2021,2
36,20274,31945,105275,36748,70896,3,2021,2
37,24696,51194,119478,50658,116058,3,2021,2
38,23448,47616,120102,51151,113262,3,2021,2
39,14209,28544,105249,30093,68053,3,2021,2
40,183179,349282,580388,391200,835400,3,2021,2
41,14029,28798,44594,29092,64992,3,2021,2
42,18135,35277,60657,38626,84810,3,2021,2
43,47481,101674,174641,101881,242650,3,2021,2
44,20238,37900,99835,44994,94311,3,2021,2
45,17805,33026,89048,40132,83319,3,2021,2
46,29171,55075,100617,68180,144844,3,2021,2
47,34134,55406,142193,67699,122013,3,2021,2
1,89870,199884,627883,210320,493011,4,2021,2
2,23622,44384,137037,50853,105583,4,2021,2
3,17932,43981,120983,40653,102764,4,2021,2
4,78492,218133,964014,164648,462159,4,2021,2
5,14694,32151,109761,38951,93664,4,2021,2
6,13656,34469,105823,34839,90688,4,2021,2
7,40259,113190,475504,88514,252414,4,2021,2
8,51063,129230,1062320,126266,326015,4,2021,2
